40,               Special assessments,"11,464,742",5.44,"20,367","11,444,375",5.45,"25,414",7.71,0,"25,414",7.71,"10,428",0.08,0,"10,428",0.08,"100,245",4.88,0,"100,245",4.88,"21,603",29.55,0,"21,603",29.55,"2,697,196",17.22,0,"2,697,196",17.22,"479,958",18.18,0,"479,958",18.18,"13,516",26.08,0,"13,516",26.08,"27,728",1.18,0,"27,728",1.18,"5,009",0,0,"5,009",0,"3,550,405",10.91,0,"3,550,405",10.91,"145,827",11.13,0,"145,827",11.13,"25,359",0,"17,352","8,007",0,"64,342",11.76,0,"64,342",11.76,"676,202",0.23,0,"676,202",0.23,"20,317",34.24,0,"20,317",34.24,"25,542",20.07,0,"25,542",20.07,"128,775",4.63,0,"128,775",4.63,"13,461",10.14,0,"13,461",10.14,"32,812",6.41,0,"32,812",6.41,"7,752",14.7,0,"7,752",14.7,"125,134",0.61,0,"125,134",0.61,"8,937",34.57,0,"8,937",34.57,"157,692",37.6,0,"157,692",37.6,"329,006",12.13,0,"329,006",12.13,"6,384",18.31,0,"6,384",18.31
41,               Sale of property,"4,865,170",1.51,"1,188,134","3,677,036",1.99,"81,123",3.49,0,"81,123",3.49,"419,118",0.11,"412,920","6,198",7.74,"257,916",3.53,"200,654","57,262",15.91,"19,635",5.18,"5,855","13,780",7.38,"550,413",9.15,"8,252","542,161",9.29,"147,220",16.61,"36,685","110,535",22.13,"23,888",11.53,"12,644","11,244",24.49,"2,029",4.13,461,"1,568",5.34,"1,687",0,0,"1,687",0,"318,618",3.91,"77,293","241,325",5.16,"150,276",8.29,"39,963","110,313",11.29,"1,148",0,21,"1,127",0,"55,158",2.49,"39,244","15,914",8.64,"82,781",0.73,"1,948","80,833",0.75,"80,794",6.47,"3,389","77,405",6.75,"53,364",7.8,560,"52,804",7.88,"41,060",2.77,"8,090","32,970",3.46,"61,220",5.35,0,"61,220",5.35,"12,289",14.58,"1,228","11,061",16.19,"11,977",7.7,"5,771","6,206",14.86,"37,025",0.77,"31,719","5,306",5.4,"54,169",1.1,"5,784","48,385",1.23,"99,127",12.57,"6,279","92,848",13.42,"68,482",2.24,"17,209","51,273",2.99,"22,740",6.27,919,"21,821",6.54
42,               Other general revenue,"183,903,829",0.32,"120,641,345","63,262,484",0.93,"1,861,340",0.92,"1,227,327","634,013",2.69,"1,002,086",0.48,"854,454","147,632",3.24,"2,699,388",0.27,"1,837,754","861,634",0.85,"1,301,278",1.2,"942,245","359,033",4.33,"20,792,590",1.96,"7,875,747","12,916,843",3.15,"2,992,417",2.27,"1,383,330","1,609,087",4.22,"1,318,268",2.3,"1,023,247","295,021",10.28,"1,338,296",0.19,"1,280,519","57,777",4.41,"843,079",0,0,"843,079",0,"12,976,623",0.62,"8,662,844","4,313,779",1.88,"4,202,922",1.84,"2,464,939","1,737,983",4.44,"1,337,503",0,"1,198,514","138,989",0,"544,143",2.06,"329,809","214,334",5.24,"5,980,004",2.67,"3,555,386","2,424,618",6.59,"2,860,087",2.16,"1,628,048","1,232,039",5.01,"2,228,391",2.6,"1,680,145","548,246",10.57,"1,718,538",1.3,"1,046,534","672,004",3.34,"1,377,357",1.04,"1,051,641","325,716",4.41,"2,609,729",1.03,"2,008,852","600,877",4.49,"493,331",2.6,"390,774","102,557",12.51,"3,204,067",0.12,"2,228,632","975,435",0.39,"5,421,982",1.09,"4,369,900","1,052,082",5.6,"5,085,346",2.38,"3,367,657","1,717,689",7.04,"3,342,256",2.12,"2,158,667","1,183,589",6,"869,234",1.26,"561,557","307,677",3.57
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Utility revenue,"177,688,403",1.12,"14,373,281","163,315,122",1.22,"3,401,086",1.95,0,"3,401,086",1.95,"426,059",0.85,"21,035","405,024",0.89,"5,396,160",0.55,"22,806","5,373,354",0.55,"1,081,169",3.92,0,"1,081,169",3.92,"33,032,062",4.94,"963,308","32,068,754",5.09,"3,243,394",10.03,0,"3,243,394",10.03,"886,290",1.17,"110,928","775,362",1.33,"499,196",0.86,"20,974","478,222",0.9,"944,896",0,0,"944,896",0,"10,079,793",2.39,"26,063","10,053,730",2.4,"4,755,967",2.63,0,"4,755,967",2.63,"431,674",0,0,"431,674",0,"264,627",8.11,0,"264,627",8.11,"5,512,267",6.64,0,"5,512,267",6.64,"3,025,774",6.18,0,"3,025,774",6.18,"1,289,825",4.71,0,"1,289,825",4.71,"1,605,742",4.93,0,"1,605,742",4.93,"1,772,524",3.82,0,"1,772,524",3.82,"1,280,272",4.75,"16,393","1,263,879",4.81,"158,930",17.66,"11,712","147,218",19.07,"1,189,486",0.81,"135,745","1,053,741",0.91,"3,941,998",4.1,"952,838","2,989,160",5.41,"3,015,895",6.02,11,"3,015,884",6.02,"2,748,868",3.8,"109,799","2,639,069",3.96,"852,128",3.27,0,"852,128",3.27
44,     Water supply,"71,068,821",2.7,"349,205","70,719,616",2.71,"985,757",5.93,0,"985,757",5.93,"116,289",1.91,0,"116,289",1.91,"1,628,498",1.48,0,"1,628,498",1.48,"560,748",7.55,0,"560,748",7.55,"16,298,261",9.71,0,"16,298,261",9.71,"1,784,728",18.13,0,"1,784,728",18.13,"367,222",2.77,0,"367,222",2.77,"98,226",3.79,0,"98,226",3.79,"155,218",0,0,"155,218",0,"4,733,208",4.96,0,"4,733,208",4.96,"1,841,831",4.95,0,"1,841,831",4.95,"370,391",0,0,"370,391",0,"175,350",12.23,0,"175,350",12.23,"3,133,771",11.36,0,"3,133,771",11.36,"1,087,549",16.04,0,"1,087,549",16.04,"622,741",7.61,0,"622,741",7.61,"713,344",9.42,0,"713,344",9.42,"805,173",8.34,0,"805,173",8.34,"531,503",9.88,"7,550","523,953",10.02,"129,893",21.61,0,"129,893",21.61,"924,657",1.02,0,"924,657",1.02,"1,639,890",7.94,"261,658","1,378,232",9.44,"1,496,100",11.29,0,"1,496,100",11.29,"866,722",8.5,0,"866,722",8.5,"321,304",7.9,0,"321,304",7.9
45,     Electric power,"82,688,833",0.6,"9,757,922","72,930,911",0.68,"1,977,441",1.49,0,"1,977,441",1.49,"304,026",0.94,"21,035","282,991",1.01,"3,626,202",0.47,"22,806","3,603,396",0.47,"515,566",0.01,0,"515,566",0.01,"14,129,846",2.7,"963,308","13,166,538",2.9,"1,110,234",3,0,"1,110,234",3,"371,518",0.09,0,"371,518",0.09,"379,931",0.58,0,"379,931",0.58,0,0,0,0,0,"4,790,745",1.07,0,"4,790,745",1.07,"1,895,827",3.88,0,"1,895,827",3.88,0,0,0,0,0,"85,817",0.77,0,"85,817",0.77,"1,245,047",6.66,0,"1,245,047",6.66,"1,524,590",4.4,0,"1,524,590",4.4,"571,710",6.46,0,"571,710",6.46,"840,825",4.93,0,"840,825",4.93,"600,553",0.98,0,"600,553",0.98,"606,714",4.02,"8,843","597,871",4.08,"13,542",2.62,0,"13,542",2.62,"87,626",2.28,0,"87,626",2.28,"1,332,161",7.19,"19,479","1,312,682",7.3,"1,436,233",4.61,0,"1,436,233",4.61,"1,647,254",4.49,0,"1,647,254",4.49,"412,096",0.93,0,"412,096",0.93
46,     Gas supply,"6,746,324",1.34,"10,903","6,735,421",1.34,"433,660",2.38,0,"433,660",2.38,0,0,0,0,0,"42,473",3.41,0,"42,473",3.41,"1,725",9.62,0,"1,725",9.62,"331,927",2.62,0,"331,927",2.62,"162,122",3.56,0,"162,122",3.56,"21,462",0,0,"21,462",0,0,0,0,0,0,0,0,0,0,0,"263,514",4.48,0,"263,514",4.48,"853,069",5.1,0,"853,069",5.1,0,0,0,0,0,0,0,0,0,0,"69,015",27.59,0,"69,015",27.59,"363,599",2.37,0,"363,599",2.37,"68,954",11.78,0,"68,954",11.78,"46,109",12.11,0,"46,109",12.11,"343,668",2,0,"343,668",2,"108,531",16.99,0,"108,531",16.99,0,0,0,0,0,"6,958",0,0,"6,958",0,"52,573",0,0,"52,573",0,0,0,0,0,0,"101,822",1.04,0,"101,822",1.04,"117,140",9.18,0,"117,140",9.18
47,     Transit,"17,184,425",0.68,"4,255,251","12,929,174",0.9,"4,229",6.97,0,"4,229",6.97,"5,743",0,0,"5,743",0,"98,988",0.14,0,"98,988",0.14,"3,130",0,0,"3,130",0,"2,272,028",4.51,0,"2,272,028",4.51,"186,311",1.53,0,"186,311",1.53,"126,088",1.5,"110,928","15,160",12.45,"21,039",0,"20,974",65,0,"789,678",0,0,"789,678",0,"292,326",0.06,"26,063","266,263",0.06,"165,240",1.33,0,"165,240",1.33,"61,283",0,0,"61,283",0,"3,460",22.8,0,"3,460",22.8,"1,064,434",0.62,0,"1,064,434",0.62,"50,036",0.09,0,"50,036",0.09,"26,420",13.6,0,"26,420",13.6,"5,464",0.79,0,"5,464",0.79,"23,130",1.3,0,"23,130",1.3,"33,524",1.57,0,"33,524",1.57,"15,496",0.1,"11,712","3,784",0.41,"170,245",0.03,"135,745","34,500",0.15,"917,374",0.62,"671,701","245,673",2.33,"83,562",8.99,11,"83,551",8.99,"133,070",1.81,"109,799","23,271",10.34,"1,588",0,0,"1,588",0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Liquor store revenue,"10,694,953",0.82,"9,131,851","1,563,102",5.62,"378,578",0,"378,578",0,0,"10,393",35.04,0,"10,393",35.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"183,960",0,"183,960",0,0,0,0,0,0,0,1,0,0,1,0,"340,004",0,"340,004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"201,784",0,"201,784",0,0,"303,158",0,0,"303,158",0,0,0,0,0,0,"1,181,471",0,"1,181,471",0,0,"324,881",16.56,0,"324,881",16.56,"373,794",0,"373,794",0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Insurance trust revenue2,"417,218,907",0.12,"366,897,834","50,321,073",0.98,"4,894,546",0,"4,695,096","199,450",0,"1,297,094",0,"1,314,489","-17,395",0,"7,679,792",0,"7,336,031","343,761",0.02,"2,556,070",0.05,"2,539,844","16,226",8.25,"100,705,281",0.02,"84,304,059","16,401,222",0.1,"1,927,835",0.7,"1,933,903","-6,068",0,"4,982,405",0.45,"4,228,318","754,087",2.98,"773,946",1.38,"698,623","75,323",14.16,"1,066,118",0,0,"1,066,118",0,"17,225,579",1.06,"13,460,131","3,765,448",4.85,"10,654,619",0.21,"10,382,840","271,779",8.1,"1,445,055",0,"1,445,055",0,0,"2,324,324",0,"2,323,221","1,103",0,"10,494,114",1,"9,350,423","1,143,691",9.14,"3,930,593",0.03,"3,812,606","117,987",1.09,"4,632,232",0,"4,631,256",976,0,"2,266,637",0,"2,331,548","-64,911",0,"4,006,076",0.05,"3,943,893","62,183",3.35,"3,733,104",0.71,"3,773,747","-40,643",0,"1,486,934",0,"1,486,934",0,0,"6,409,454",0.05,"5,154,779","1,254,675",0.27,"8,249,784",1.34,"7,574,388","675,396",16.37,"9,011,690",1.09,"8,267,014","744,676",13.17,"10,411,073",0.02,"10,285,951","125,122",1.92,"3,179,845",0,"3,179,845",0,0
50,     Unemployment compensation,"37,202,336",0,"37,029,669","172,667",0,"233,540",0,"233,540",0,0,"144,119",0,"144,119",0,0,"466,128",0,"466,128",0,0,"198,636",0,"198,636",0,0,"5,978,491",0,"5,978,491",0,0,"594,982",0,"594,982",0,0,"750,055",0,"750,055",0,0,"93,937",0,"93,937",0,0,"172,667",0,0,"172,667",0,"567,979",0,"567,979",0,0,"652,564",0,"652,564",0,0,"198,764",0,"198,764",0,0,"142,177",0,"142,177",0,0,"1,845,970",0,"1,845,970",0,0,"489,280",0,"489,280",0,0,"443,939",0,"443,939",0,0,"304,482",0,"304,482",0,0,"388,917",0,"388,917",0,0,"235,793",0,"235,793",0,0,"129,695",0,"129,695",0,0,"521,798",0,"521,798",0,0,"1,831,148",0,"1,831,148",0,0,"1,296,359",0,"1,296,359",0,0,"774,670",0,"774,670",0,0,"115,964",0,"115,964",0,0
51,     Employee retirement,"355,384,180",0.14,"305,235,774","50,148,406",0.98,"4,661,006",0,"4,461,556","199,450",0,"1,147,345",0,"1,164,740","-17,395",0,"7,213,664",0,"6,869,903","343,761",0.02,"2,337,447",0.06,"2,321,221","16,226",8.25,"84,444,963",0.02,"68,043,741","16,401,222",0.1,"677,764",1.98,"683,832","-6,068",0,"4,199,773",0.53,"3,445,686","754,087",2.98,"671,095",1.59,"595,772","75,323",14.16,"893,451",0,0,"893,451",0,"16,443,823",1.11,"12,678,375","3,765,448",4.85,"9,886,451",0.22,"9,614,672","271,779",8.1,"1,246,291",0,"1,246,291",0,0,"1,956,944",0,"1,955,841","1,103",0,"8,604,430",1.21,"7,460,739","1,143,691",9.14,"3,435,476",0.04,"3,317,489","117,987",1.09,"4,177,610",0,"4,176,634",976,0,"1,962,155",0,"2,027,066","-64,911",0,"3,318,129",0.06,"3,255,946","62,183",3.35,"3,268,327",0.81,"3,308,970","-40,643",0,"1,345,789",0,"1,345,789",0,0,"5,764,754",0.06,"4,510,079","1,254,675",0.27,"5,860,388",1.89,"5,184,992","675,396",16.37,"7,702,001",1.27,"6,957,325","744,676",13.17,"9,570,319",0.03,"9,445,197","125,122",1.92,"3,058,244",0,"3,058,244",0,0
52,     Workers' compensation,"14,947,241",0,"14,947,241",0,0,0,0,0,0,0,"5,630",0,"5,630",0,0,0,0,0,0,0,"19,987",0,"19,987",0,0,"2,140,394",0,"2,140,394",0,0,"653,357",0,"653,357",0,0,"32,577",0,"32,577",0,0,"8,914",0,"8,914",0,0,0,0,0,0,0,"213,777",0,"213,777",0,0,0,0,0,0,0,0,0,0,0,0,"225,203",0,"225,203",0,0,"43,440",0,"43,440",0,0,"5,837",0,"5,837",0,0,"10,683",0,"10,683",0,0,0,0,0,0,0,"299,030",0,"299,030",0,0,"73,766",0,"73,766",0,0,"11,450",0,"11,450",0,0,"27,720",0,"27,720",0,0,"92,323",0,"92,323",0,0,"13,330",0,"13,330",0,0,"66,084",0,"66,084",0,0,"5,637",0,"5,637",0,0
53,     Other insurance trust revenue,"9,685,150",0,"9,685,150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,141,433",0,"8,141,433",0,0,"1,732",0,"1,732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115,604",0,"115,604",0,0,0,0,0,0,0,0,0,0,0,0,274,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"155,218",0,"155,218",0,0,0,0,0,0,0,"95,182",0,"95,182",0,0,"465,925",0,"465,925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,           Expenditure1,"3,967,961,549",0.15,"2,506,633,226","2,058,620,947",0.29,"50,478,634",0.35,"34,527,298","23,575,457",0.75,"14,996,568",0.23,"11,538,525","5,263,801",0.66,"64,120,262",0.37,"42,472,827","32,643,290",0.72,"28,800,119",0.46,"23,372,269","10,959,207",1.22,"637,923,760",0.5,"396,247,777","354,870,365",0.9,"66,252,836",0.95,"37,918,515","36,548,142",1.72,"43,187,166",1.56,"28,817,485","20,353,944",3.31,"12,887,660",0.09,"10,576,604","4,021,205",0.28,"20,172,049",0,0,"20,172,049",0,"198,897,417",0.47,"103,110,188","115,268,508",0.82,"92,256,088",1.16,"53,457,151","52,210,122",2.05,"18,684,637",0,"14,262,801","4,750,031",0,"15,294,592",0.64,"11,192,993","6,811,255",1.44,"154,656,596",1.44,"90,876,161","85,692,568",2.6,"64,932,440",0.61,"43,298,456","32,127,424",1.23,"37,457,000",0.86,"24,533,581","18,332,110",1.77,"31,819,175",0.79,"20,697,566","16,377,547",1.53,"46,705,173",0.44,"35,290,742","16,344,476",1.26,"50,911,077",0.34,"36,322,409","21,112,249",0.82,"13,786,101",0.64,"9,745,420","5,489,600",1.62,"75,513,685",0.07,"48,665,889","36,396,443",0.14,"98,667,207",1.02,"69,436,384","39,620,647",2.55,"108,263,852",0.88,"80,521,667","51,642,592",1.83,"72,273,071",1,"51,053,970","36,285,366",1.98,"30,664,211",0.24,"22,469,568","13,371,135",0.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,By character and object:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,     Intergovernmental expenditure1,"3,203,417",0,"582,902,323","17,593,718",0.75,0,0,"7,603,784","20,338",1.4,0,0,"1,805,758",0,0,0,0,"10,584,099","411,756",0.64,156,0,"5,506,995","24,518",6.3,"2,866,190",0,"115,184,907","875,666",1.43,"2,061",0,"8,175,377","40,506",0.92,0,0,"5,982,373","1,890",0,991,0,"1,709,844","1,296",0.66,0,0,0,0,0,0,0,"19,186,392","294,887",1.42,0,0,"13,399,351","11,834",46.14,402,0,"328,597",0,0,0,0,"2,708,320","1,336",74.93,"19,715",0,"21,931,820",28,0,355,0,"10,484,135","9,661",4.3,0,0,"5,392,612","16,080",21.91,835,0,"5,252,484","4,290",23.28,0,0,"4,922,217","7,828",11.88,0,0,"6,491,823","31,758",1.91,0,0,"1,447,848","1,071",68.64,0,0,"9,548,598",49,5.04,"1,468",0,"9,908,172","483,120",3.08,"7,615",0,"23,597,434","310,588",1.09,640,0,"14,965,157","101,748",5.58,0,0,"5,175,676",816,0
56,     Direct expenditure,"3,964,758,132",0.15,"1,923,730,903","2,041,027,229",0.3,"50,478,634",0.35,"26,923,514","23,555,120",0.75,"14,996,568",0.23,"9,732,767","5,263,801",0.66,"64,120,262",0.37,"31,888,728","32,231,534",0.73,"28,799,963",0.46,"17,865,274","10,934,689",1.22,"635,057,570",0.5,"281,062,870","353,994,700",0.9,"66,250,775",0.95,"29,743,138","36,507,637",1.72,"43,187,166",1.56,"22,835,112","20,352,054",3.31,"12,886,669",0.09,"8,866,760","4,019,909",0.28,"20,172,049",0,0,"20,172,049",0,"198,897,417",0.47,"83,923,796","114,973,621",0.82,"92,256,088",1.16,"40,057,800","52,198,288",2.05,"18,684,235",0,"13,934,204","4,750,031",0,"15,294,592",0.64,"8,484,673","6,809,919",1.44,"154,636,881",1.44,"68,944,341","85,692,540",2.6,"64,932,085",0.61,"32,814,321","32,117,764",1.23,"37,457,000",0.86,"19,140,969","18,316,031",1.77,"31,818,340",0.79,"15,445,082","16,373,258",1.53,"46,705,173",0.44,"30,368,525","16,336,648",1.26,"50,911,077",0.34,"29,830,586","21,080,491",0.82,"13,786,101",0.64,"8,297,572","5,488,529",1.62,"75,513,685",0.07,"39,117,291","36,396,394",0.14,"98,665,739",1.02,"59,528,212","39,137,527",2.58,"108,256,237",0.88,"56,924,233","51,332,004",1.85,"72,272,431",1,"36,088,813","36,183,618",1.99,"30,664,211",0.24,"17,293,892","13,370,319",0.56
57,          Current operations,"2,988,522,158",0.2,"1,359,886,344","1,628,635,814",0.36,"39,642,949",0.43,"19,518,533","20,124,416",0.85,"11,041,512",0.29,"6,724,690","4,316,822",0.75,"49,096,933",0.46,"24,026,077","25,070,856",0.9,"22,894,909",0.57,"13,978,879","8,916,030",1.47,"477,057,588",0.65,"199,757,020","277,300,568",1.11,"48,244,308",1.15,"20,543,934","27,700,374",1.99,"30,800,055",2.17,"13,980,722","16,819,333",3.98,"9,890,387",0.07,"6,517,301","3,373,086",0.22,"14,295,789",0,0,"14,295,789",0,"155,162,681",0.56,"61,342,346","93,820,335",0.93,"70,192,473",1.5,"27,314,976","42,877,497",2.46,"13,726,241",0,"10,648,039","3,078,202",0,"11,754,048",0.79,"5,904,115","5,849,933",1.59,"108,904,529",1.98,"43,175,620","65,728,909",3.28,"50,940,623",0.75,"25,226,462","25,714,161",1.49,"28,998,703",1.1,"13,738,480","15,260,223",2.09,"25,371,192",0.97,"12,149,610","13,221,582",1.86,"34,973,476",0.58,"22,080,055","12,893,421",1.56,"39,299,767",0.42,"21,184,325","18,115,442",0.91,"11,297,182",0.77,"6,571,171","4,726,011",1.85,"58,192,755",0.09,"27,664,896","30,527,859",0.17,"76,338,784",1.3,"43,784,898","32,553,886",3.06,"85,091,348",1.1,"42,133,705","42,957,643",2.18,"54,950,781",1.21,"26,402,183","28,548,598",2.33,"24,346,247",0.3,"12,620,848","11,725,399",0.62
58,          Capital outlay,"409,456,094",0.3,"150,010,385","259,445,709",0.48,"4,888,732",0.69,"2,454,561","2,434,171",1.38,"2,004,039",0.64,"1,217,805","786,234",1.62,"7,066,634",0.86,"1,608,823","5,457,811",1.11,"2,624,990",0.78,"1,049,951","1,575,039",1.3,"52,378,803",1.37,"12,267,721","40,111,082",1.79,"7,990,817",2.38,"1,527,629","6,463,188",2.94,"3,937,224",1.98,"1,811,039","2,126,185",3.67,"1,438,043",0.13,"963,939","474,104",0.4,"4,038,963",0,0,"4,038,963",0,"22,781,862",1.03,"8,277,864","14,503,998",1.62,"9,727,126",1.66,"3,496,253","6,230,873",2.59,"2,768,784",0,"1,415,282","1,353,502",0,"1,804,539",1.76,"954,514","850,025",3.73,"13,473,260",3.04,"3,932,477","9,540,783",4.3,"7,550,699",0.83,"2,318,430","5,232,269",1.2,"4,355,491",1.14,"1,725,050","2,630,441",1.89,"3,314,122",1.11,"943,623","2,370,499",1.55,"4,424,313",0.71,"1,789,667","2,634,646",1.2,"4,376,796",0.85,"2,157,015","2,219,781",1.67,"943,974",1.59,"311,867","632,107",2.37,"6,716,696",0.07,"3,507,298","3,209,398",0.14,"7,984,617",1.94,"4,239,689","3,744,928",4.14,"8,036,633",1.54,"3,055,860","4,980,773",2.48,"7,860,235",3.28,"1,898,139","5,962,096",4.33,"2,367,555",0.59,"981,154","1,386,401",1.01
59,               Construction,"327,474,375",0.33,"125,384,335","202,090,040",0.53,"3,679,217",0.83,"1,815,556","1,863,661",1.65,"1,639,252",0.75,"999,683","639,569",1.92,"5,322,154",1.06,"1,372,481","3,949,673",1.43,"2,186,036",0.85,"939,369","1,246,667",1.49,"43,803,106",1.59,"11,182,057","32,621,049",2.13,"6,294,204",2.73,"1,150,853","5,143,351",3.34,"3,380,773",2.17,"1,536,778","1,843,995",3.98,"1,215,309",0.16,"754,893","460,416",0.42,"2,925,918",0,0,"2,925,918",0,"17,546,745",0.87,"7,824,127","9,722,618",1.58,"8,050,260",1.84,"2,951,938","5,098,322",2.9,"1,843,866",0,"609,462","1,234,404",0,"1,392,747",2,"778,684","614,063",4.54,"10,140,508",1.95,"3,414,865","6,725,643",2.94,"5,904,891",0.83,"1,988,781","3,916,110",1.25,"3,676,149",1.25,"1,559,106","2,117,043",2.17,"2,634,464",1.13,"820,928","1,813,536",1.65,"3,160,034",0.69,"1,558,107","1,601,927",1.36,"3,713,108",0.96,"1,816,327","1,896,781",1.89,"794,903",1.75,"274,595","520,308",2.68,"5,678,152",0.01,"2,767,336","2,910,816",0.02,"5,410,080",1.83,"3,579,038","1,831,042",5.42,"5,332,913",0.74,"2,519,348","2,813,565",1.41,"5,680,861",4.03,"1,431,105","4,249,756",5.38,"1,869,834",0.72,"846,390","1,023,444",1.32
60,               Other capital outlay,"81,981,719",0.76,"24,626,050","57,355,669",1.09,"1,209,515",1.13,"639,005","570,510",2.39,"364,787",0.96,"218,122","146,665",2.39,"1,744,479",1.32,"236,342","1,508,137",1.53,"438,954",1.94,"110,582","328,372",2.59,"8,575,697",2.16,"1,085,664","7,490,033",2.47,"1,696,613",4.84,"376,776","1,319,837",6.22,"556,450",4.8,"274,261","282,189",9.47,"222,734",0.07,"209,046","13,688",1.18,"1,113,045",0,0,"1,113,045",0,"5,235,117",3.41,"453,737","4,781,380",3.73,"1,676,866",3.83,"544,315","1,132,551",5.68,"924,918",0,"805,820","119,098",0,"411,792",3.67,"175,830","235,962",6.4,"3,332,752",10.78,"517,612","2,815,140",12.76,"1,645,808",2.38,"329,649","1,316,159",2.97,"679,342",2.8,"165,944","513,398",3.71,"679,658",3.15,"122,695","556,963",3.84,"1,264,278",1.81,"231,560","1,032,718",2.21,"663,688",1.42,"340,688","323,000",2.92,"149,071",3.68,"37,272","111,799",4.91,"1,038,545",0.42,"739,962","298,583",1.46,"2,574,537",4.64,"660,651","1,913,886",6.24,"2,703,720",4.33,"536,512","2,167,208",5.41,"2,179,374",5.5,"467,034","1,712,340",7,"497,721",0.82,"134,764","362,957",1.12
61,          Assistance and subsidies,"63,649,079",0.13,"52,514,668","11,134,411",0.76,"1,011,056",0,"1,011,055",1,0,"154,941",0,"154,935",6,0,"1,143,464",0,"1,143,256",208,0,"490,659",0,"490,659",0,0,"12,937,463",0.2,"6,019,677","6,917,786",0.37,"986,676",0.51,"932,403","54,273",9.29,"515,103",0.04,"514,610",493,40.6,"390,149",0,"390,149",0,0,"550,125",0,0,"550,125",0,"2,751,668",0,"2,738,024","13,644",0,"1,428,183",0,"1,428,183",0,0,"147,662",0,"118,591","29,071",0,"182,366",0.01,"182,093",273,5.21,"1,377,327",0,"1,377,327",0,0,"1,468,926",0.03,"1,468,724",202,236.24,"627,574",0,"627,499",75,0,"219,794",0,"219,779",15,0,"1,190,641",0,"1,190,641",0,0,"743,015",0,"742,337",678,0.92,"189,195",0.25,"181,438","7,757",6.11,"1,521,703",0,"1,521,703",0,0,"1,084,666",0,"1,084,666",0,0,"1,658,076",0,"1,656,964","1,112",0,"1,512,874",2.82,"1,274,320","238,554",17.91,"427,692",0,"427,358",334,0
